namelast,namefrst,birthyr,position,party,state,net worth,sex,race
Alexander,Lamar,1940,Senator,Republican,TN,2670000,M,white
Ayotte,Kelly,1968,Senator,Republican,NH,720000,F,white
Baldwin,Tammy,1962,Senator,Democrat,WI,-80000,F,white
Barrasso,John,1952,Senator,Republican,WY,1900000,M,white
Bennet,Michael,1964,Senator,Democrat,CO,5340000,M,white
Blumenthal,Richard,1946,Senator,Democrat,CT,66900000,M,white
Blunt,Roy,1950,Senator,Republican,MO,810000,M,white
Booker,Cory,1969,Senator,Democrat,NJ,350000,M,black
Boozman,John,1950,Senator,Republican,AR,510000,M,white
Boxer,Barbara,1940,Senator,Democrat,CA,1100000,F,white
Brown,Sherrod,1952,Senator,Democrat,OH,180000,M,white
Burr,Richard M,1955,Senator,Republican,NC,1620000,M,white
Cantwell,Maria,1958,Senator,Democrat,WA,940000,F,white
Capito,Shelley Moore,1953,Senator,Republican,WV,440000,F,white
Cardin,Benjamin L,1943,Senator,Democrat,MD,1430000,M,white
Carper,Thomas R,1947,Senator,Democrat,DE,2570000,M,white
Casey,Bob,1960,Senator,Democrat,PA,260000,M,white
Cassidy,Bill,1957,Senator,Republican,LA,660000,M,white
Coats,Dan,1943,Senator,Republican,IN,5440000,M,white
Cochran,Thad,1937,Senator,Republican,MS,2750000,M,white
Collins,Susan,1952,Senator,Republican,ME,1380000,F,white
Coons,Chris,1963,Senator,Democrat,DE,5490000,M,white
Corker,Bob,1952,Senator,Republican,TN,17980000,M,white
Cornyn,John,1952,Senator,Republican,TX,-230000,M,white
Cotton,Tom,1977,Senator,Republican,AR,160000,M,white
Crapo,Michael D,1951,Senator,Republican,ID,740000,M,white
Cruz,Ted,1970,Senator,Republican,TX,1790000,M,hispanic
Daines,Steve,1962,Senator,Republican,MT,6620000,M,white
Donnelly,Joe,1955,Senator,Democrat,IN,470000,M,white
Durbin,Richard J,1944,Senator,Democrat,IL,1750000,M,white
Enzi,Michael B,1944,Senator,Republican,WY,390000,M,white
Ernst,Joni,1970,Senator,Republican,IA,240000,F,white
Feinstein,Dianne,1933,Senator,Democrat,CA,52780000,F,white
Fischer,Deb,1951,Senator,Republican,NE,560000,F,white
Flake,Jeff,1962,Senator,Republican,AZ,-50000,M,white
Franken,Al,1951,Senator,Democrat,MN,4140000,M,white
Gardner,Cory,1974,Senator,Republican,CO,-110000,M,white
Gillibrand,Kirsten,1966,Senator,Democrat,NY,120000,F,white
Graham,Lindsey,1955,Senator,Republican,SC,90000,M,white
Grassley,Charles E,1933,Senator,Republican,IA,2110000,M,white
Hatch,Orrin G,1934,Senator,Republican,UT,2110000,M,white
Heinrich,Martin,1971,Senator,Democrat,NM,-720000,M,white
Heitkamp,Heidi,1955,Senator,Democrat,ND,2070000,F,white
Heller,Dean,1960,Senator,Republican,NV,2030000,M,white
Hirono,Mazie,1947,Senator,Democrat,HI,1050000,F,asian
Hoeven,John,1957,Senator,Republican,ND,17540000,M,white
Inhofe,James M,1934,Senator,Republican,OK,4770000,M,white
Isakson,Johnny,1944,Senator,Republican,GA,9510000,M,white
Johnson,Ron,1955,Senator,Republican,WI,17000000,M,white
Kaine,Tim,1958,Senator,Democrat,VA,710000,M,white
King,Angus,1944,Senator,Independent,ME,4570000,M,white
Kirk,Mark S,1959,Senator,Republican,IL,-260000,M,white
Klobuchar,Amy,1960,Senator,Democrat,MN,550000,F,white
Lankford,James,1968,Senator,Republican,OK,-10000,M,white
Leahy,Patrick J,1940,Senator,Democrat,VT,-350000,M,white
Lee,Mike,1971,Senator,Republican,UT,120000,M,white
Manchin III,Joe,1947,Senator,Democrat,WV,3900000,M,white
Markey,Edward J,1946,Senator,Democrat,MA,950000,M,white
McCain,John,1936,Senator,Republican,AZ,14410000,M,white
McCaskill,Claire,1953,Senator,Democrat,MO,19100000,F,white
McConnell,Mitch,1942,Senator,Republican,KY,9410000,M,white
Menendez,Robert,1954,Senator,Democrat,NJ,220000,M,hispanic
